e1	a1	l1	r1	a2	l2	r2	a3	b3	l3	r3	a4	b4	l4	r4	a5	b5	l5	r5
    50.00000	     7.79485	   280.98044	   332.38442	     4.44298	   271.50984	   325.73673	     5.46980	     3.77731	   260.66130	   332.38442	     6.47208	     5.11792	   259.69161	   332.38442	     6.24875	     5.28508	   256.05035	   332.38442	
    34.00000	     7.61592	   192.08822	   226.02140	     3.85381	   190.84241	   219.37372	     5.64963	     2.57130	   185.11554	   226.02140	     6.62351	     4.37232	   184.94264	   226.02140	     6.15310	     2.86194	   186.23882	   226.02140	
    23.00000	     9.52122	   122.90063	   152.89683	     3.58419	   129.10623	   146.24914	     8.14991	     1.85879	   120.69361	   152.89683	     9.16627	     3.55909	   121.58498	   152.89683	     8.11341	     3.40007	   118.09734	   152.89683	
    23.00000	    11.16245	   116.35640	   152.89683	     4.82033	   122.69965	   146.24914	     9.54260	     3.12010	   111.77552	   152.89683	    10.25407	     6.84514	   107.75725	   152.89683	     9.92459	     5.56085	   107.16915	   152.89683	
    44.00000	     9.50026	   235.18555	   292.49829	     5.14790	   228.11896	   285.85060	     6.85084	     4.36597	   214.18633	   292.49829	     8.52338	     7.93540	   212.59125	   292.49829	     7.51697	     5.91596	   211.05187	   292.49829	
    36.00000	     9.93011	   189.28944	   239.31678	     3.54013	   203.30938	   232.66909	     8.40154	     2.02651	   185.05865	   239.31678	     8.56150	     3.77043	   181.23233	   239.31678	     8.51000	     3.18867	   181.77594	   239.31678	
    38.00000	    10.37949	   196.60806	   252.61216	     5.02173	   197.23757	   245.96447	     7.90378	     4.08862	   181.67593	   252.61216	     9.05966	     5.68019	   181.24012	   252.61216	     8.75996	     5.64461	   177.65011	   252.61216	
    41.00000	     6.86614	   237.02016	   272.55522	     5.07471	   212.02380	   265.90753	     4.13998	     4.67477	   209.95715	   272.55522	     5.32345	     5.52297	   212.23541	   272.55522	     5.02550	     6.03200	   208.04951	   272.55522	
    28.00000	     8.21745	   155.03548	   186.13527	     3.99328	   155.69003	   179.48759	     6.34834	     2.56767	   149.78384	   186.13527	     7.16294	     3.16900	   150.32170	   186.13527	     6.14055	     4.64668	   142.72640	   186.13527	
    50.00000	     8.13570	   278.69386	   332.38442	     4.12105	   278.43864	   325.73673	     5.91269	     3.00641	   266.04937	   332.38442	     6.78895	     4.61893	   262.51003	   332.38442	     6.30059	     5.06469	   255.56591	   332.38442	
    30.00000	     8.64614	   164.58629	   199.43065	     4.57401	   161.11726	   192.78296	     6.25556	     3.62821	   154.95224	   199.43065	     7.67508	     5.71193	   154.31627	   199.43065	     6.70778	     5.39646	   150.99118	   199.43065	
    35.00000	     7.19648	   200.06999	   232.66909	     3.26058	   201.20740	   226.02140	     5.49449	     1.97069	   194.92603	   232.66909	     5.72250	     3.66545	   190.87548	   232.66909	     5.63489	     3.46965	   191.21392	   232.66909	
    40.00000	     8.74502	   218.55981	   265.90753	     4.54115	   215.70186	   259.25985	     6.46920	     3.70826	   203.85246	   265.90753	     7.40436	     4.37924	   206.05192	   265.90753	     7.20139	     4.87161	   202.51199	   265.90753	
    22.00000	    11.99796	   108.24201	   146.24914	     5.77680	   108.28548	   139.60146	    10.20986	     4.83856	    97.68714	   146.24914	    10.86180	     6.50940	    97.40455	   146.24914	    10.93167	     6.83788	    95.99115	   146.24914	
    26.00000	     7.34454	   148.91881	   172.83990	     2.87497	   149.57867	   166.19221	     5.88574	     1.88501	   145.02095	   172.83990	     6.85791	     2.01335	   146.96938	   172.83990	     5.98828	     3.14472	   142.49162	   172.83990	
    23.00000	    12.11122	   112.29914	   152.89683	     6.02598	   107.79848	   146.24914	     9.40176	     5.32485	    97.68483	   152.89683	    10.48177	     6.98252	    99.24209	   152.89683	    10.10530	     6.51698	    96.22806	   152.89683	
    30.00000	     8.96945	   163.03335	   199.43065	     4.33007	   162.57886	   192.78296	     6.68944	     3.17227	   155.15224	   199.43065	     7.63544	     5.47884	   151.65845	   199.43065	     7.29982	     5.03623	   150.98101	   199.43065	
    56.00000	     7.86300	   313.75253	   372.27055	     4.88570	   296.92408	   365.62286	     5.47017	     4.30448	   284.52483	   372.27055	     6.53072	     5.60205	   283.52568	   372.27055	     6.13180	     6.18753	   274.37119	   372.27055	
    34.00000	     7.86987	   190.53190	   226.02140	     4.33661	   183.27815	   219.37372	     5.47570	     3.67101	   177.40055	   226.02140	     6.61289	     5.19297	   173.05445	   226.02140	     6.01872	     4.82889	   174.90423	   226.02140	
    43.00000	     5.09224	   260.98069	   285.85060	     2.19831	   261.06824	   279.20291	     3.93112	     1.13857	   258.12121	   285.85060	     3.94013	     3.36671	   251.73469	   285.85060	     4.07769	     1.51937	   257.59443	   285.85060	
    52.00000	     6.44556	   304.07218	   345.67980	     3.64492	   295.84473	   339.03211	     4.18105	     2.76431	   290.31172	   345.67980	     4.95891	     3.98283	   288.43513	   345.67980	     4.41574	     4.41021	   282.17075	   345.67980	
    22.00000	    14.54862	    99.62665	   146.24914	     5.00735	   109.90566	   139.60146	    13.06068	     4.37228	    90.43231	   146.24914	    13.81646	     5.44716	    92.22067	   146.24914	    13.55784	     6.00866	    85.74698	   146.24914	
    49.00000	     4.88771	   298.75195	   325.73673	     2.69995	   291.41114	   319.08904	     3.07402	     1.88964	   291.02840	   325.73673	     3.51753	     2.28537	   291.30306	   325.73673	     3.05996	     2.84805	   286.47625	   325.73673	
    52.00000	     8.47344	   285.89329	   345.67980	     4.77277	   277.46285	   339.03211	     6.02016	     3.94934	   263.84112	   345.67980	     7.02053	     4.66434	   266.80864	   345.67980	     6.80304	     5.80846	   256.67286	   345.67980	
    30.00000	     9.31656	   161.74726	   199.43065	     6.04874	   149.60814	   192.78296	     6.15011	     5.19648	   145.43460	   199.43065	     7.72989	     6.58982	   147.90482	   199.43065	     7.04462	     7.26042	   140.90718	   199.43065	
    14.00000	    15.73407	    60.87664	    93.06764	     5.25538	    69.34564	    86.41995	    14.71329	     3.51879	    57.96751	    93.06764	    15.35237	    13.06593	    54.55513	    93.06764	    14.69202	     4.83839	    57.22026	    93.06764	
    50.00000	     6.51241	   291.90873	   332.38442	     3.98716	   276.55449	   325.73673	     3.93763	     3.22435	   272.62945	   332.38442	     5.13962	     4.77373	   275.85078	   332.38442	     4.57851	     4.18616	   268.20023	   332.38442	
    38.00000	     8.89448	   206.41231	   252.61216	     5.74712	   193.18308	   245.96447	     6.15018	     4.98654	   184.97519	   252.61216	     7.52530	     5.71996	   191.12127	   252.61216	     6.64018	     7.25075	   181.68072	   252.61216	
    41.00000	     8.69143	   223.47113	   272.55522	     4.54028	   222.37617	   265.90753	     6.15498	     3.22925	   212.37327	   272.55522	     6.95020	     4.38112	   211.68309	   272.55522	     6.62513	     4.48211	   208.20096	   272.55522	
    43.00000	     5.39897	   259.41876	   285.85060	     2.97044	   250.16874	   279.20291	     3.49178	     2.36025	   249.03053	   285.85060	     4.51258	     3.77376	   245.96945	   285.85060	     3.72190	     3.56577	   241.71339	   285.85060	
    43.00000	     8.04083	   239.89126	   285.85060	     5.16652	   216.81332	   279.20291	     5.46604	     4.76708	   209.20360	   285.85060	     7.07731	     6.48073	   211.66403	   285.85060	     6.44442	     6.61217	   208.85149	   285.85060	
    38.00000	     9.62128	   201.85605	   252.61216	     4.95874	   200.49233	   245.96447	     7.27969	     4.16917	   187.38563	   252.61216	     8.57474	     7.06585	   183.96777	   252.61216	     7.97607	     6.30894	   181.02605	   252.61216	
    17.00000	    11.56834	    84.88418	   113.01070	     3.22189	    94.75711	   106.36301	    10.67371	     1.22609	    84.18064	   113.01070	    11.18091	     1.44851	    84.49435	   113.01070	    10.67199	     2.20114	    83.47103	   113.01070	
    37.00000	     6.35955	   217.53328	   245.96447	     2.36494	   220.94823	   239.31678	     5.15826	     1.33881	   214.37141	   245.96447	     5.19402	     2.59840	   211.24361	   245.96447	     4.95460	     3.18335	   205.14143	   245.96447	
    40.00000	     6.98469	   230.32372	   265.90753	     4.05301	   219.78379	   259.25985	     4.50162	     3.34579	   215.92980	   265.90753	     5.59026	     6.22431	   213.10589	   265.90753	     4.94329	     4.34749	   214.82361	   265.90753	
    44.00000	     9.41562	   234.53402	   292.49829	     5.41091	   224.92246	   285.85060	     6.80740	     4.74446	   211.61150	   292.49829	     8.15676	     6.50885	   212.16851	   292.49829	     7.69164	     6.82213	   202.16023	   292.49829	
